id_zona,nombre_zona,tipo_zona,prioridad,punto_recoleccion,tipo_punto,fecha,residuos_kg,clima,evento,dia_semana,es_fin_semana,patente_camion,capacidad_kg,consumo_km_l,tipo_combustible,estado_operativo,gps_id,nombre_operador,cedula_operador,especialidad_operador,personal,nombre_punto_disp,tipo_punto_disp,latitud_punto_disp,longitud_punto_disp,capacidad_diaria_ton
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-01,142,mayormente soleado,feria_local,Lunes,0,VJ-UA-62,5000,5.1,diesel,mantenimiento,GPS005,Nombre3,cedula3,especialidad1,2,Vertedero Municipal,vertedero,-20.28,-70.12,100.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-02,79,mayormente soleado,ninguno,Martes,0,PZ-EE-47,5000,4.2,diesel,mantenimiento,GPS004,Nombre3,cedula3,especialidad1,2,Vertedero Municipal,vertedero,-20.28,-70.12,100.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-03,97,nublado,festivo,Miércoles,0,PZ-EE-47,5000,4.2,diesel,mantenimiento,GPS004,Nombre3,cedula3,especialidad1,3,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-04,77,mayormente soleado,ninguno,Jueves,0,CM-QK-46,3500,4.9,diesel,activo,GPS002,Nombre6,cedula6,especialidad2,2,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-05,98,soleado,feria_local,Viernes,0,PZ-EE-47,5000,4.2,diesel,mantenimiento,GPS004,Nombre2,cedula2,especialidad3,2,Punto Reciclaje Av. Cinco,reciclaje,-20.252,-70.148,15.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-06,81,soleado,feria_local,Sábado,1,VJ-UA-62,5000,5.1,diesel,mantenimiento,GPS005,Nombre7,cedula7,especialidad2,3,Vertedero Municipal,vertedero,-20.28,-70.12,100.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-07,68,nublado,feria_local,Domingo,1,PZ-EE-47,5000,4.2,diesel,mantenimiento,GPS004,Nombre2,cedula2,especialidad3,3,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-08,101,soleado,feria_local,Lunes,0,CM-QK-46,3500,4.9,diesel,activo,GPS002,Nombre7,cedula7,especialidad2,2,Vertedero Municipal,vertedero,-20.28,-70.12,100.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-09,77,nublado,ninguno,Martes,0,CM-QK-46,3500,4.9,diesel,activo,GPS002,Nombre8,cedula8,especialidad3,2,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-10,58,mayormente soleado,ninguno,Miércoles,0,VJ-UA-62,5000,5.1,diesel,mantenimiento,GPS005,Nombre3,cedula3,especialidad1,2,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-11,56,mayormente soleado,ninguno,Jueves,0,MC-TX-47,3500,5.1,diesel,activo,GPS003,Nombre7,cedula7,especialidad2,2,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-12,91,nublado,ninguno,Viernes,0,IG-PD-82,5000,4.5,diesel,mantenimiento,GPS001,Nombre5,cedula5,especialidad3,2,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
1,Sector Sur Iquique,residencial,1,Av. Ramon Perez Opazo con Av. La Tirana,contenedor,2025-09-13,64,mayormente soleado,ninguno,Sábado,1,VJ-UA-62,5000,5.1,diesel,mantenimiento,GPS005,Nombre1,cedula1,especialidad2,3,Centro de Acopio Sur Iquique,acopio_central,-20.25,-70.15,50.0
